EmployeeID,FirstName,LastName,Department,Designation,JoiningDate,Salary,Age,YearsOfExperience,Performance_Rating,Project_Count
1001,Arjun,Verma,Sales,Software Engineer,5/27/2016,1470473,50,1,3.57,14
1002,Sneha,Reddy,Sales,Software Engineer,9/15/2021,820082,26,10,3.35,11
1003,Rohan,Desai,Finance,Senior Manager,3/14/2021,1343361,28,25,4.58,1
1004,Divya,Sharma,Engineering,Manager,6/2/2022,2480943,57,6,3.61,4
1005,Vikram,Desai,Finance,Data Analyst,9/12/2016,2028235,48,5,2.4,2
1006,Arjun,Nair,Finance,Software Engineer,12/12/2016,2225464,23,29,4.86,4
1007,Pooja,Gupta,Sales,Data Analyst,11/24/2023,2216796,46,9,4.21,8
1008,Amit,Kumar,Sales,Executive,6/30/2022,1586188,30,4,3.52,5
1009,Arjun,Reddy,Finance,Executive,1/29/2024,733797,48,10,2.17,1
1010,Rohan,Nair,Finance,Senior Manager,8/1/2022,1100607,22,0,2.49,7
1011,Rohan,Gupta,Finance,Executive,12/19/2020,2387784,44,1,3.68,1
1012,Divya,Rao,Sales,Executive,7/15/2021,2084094,31,23,1.29,9
1013,Vikram,Sharma,Finance,Manager,11/20/2023,1202153,46,0,2.03,3
1014,Sneha,Verma,Finance,Manager,10/13/2020,2444797,24,18,3.86,12
1015,Divya,Verma,HR,Manager,4/27/2021,539608,27,1,2.92,3
1016,Divya,Desai,Engineering,Executive,7/25/2016,847571,27,20,2.61,6
1017,Amit,Singh,Marketing,Senior Manager,9/26/2019,649115,23,19,1.61,10
1018,Ananya,Gupta,Engineering,Associate,2/27/2022,402780,39,28,2.77,6
1019,Vikram,Rao,HR,Associate,9/15/2017,1771816,44,22,4.08,13
1020,Priya,Nair,Marketing,Data Analyst,1/8/2017,1791422,23,20,2.06,11
1021,Divya,Sharma,Finance,Associate,2/19/2018,1117166,33,23,1.02,11
1022,Kavya,Gupta,HR,Associate,5/31/2017,1153159,43,3,3.67,6
1023,Ananya,Rao,Finance,Manager,2/23/2017,1195596,58,11,4.89,13
1024,Priya,Kumar,Sales,Manager,3/31/2019,883043,41,21,3.43,1
1025,Kavya,Reddy,Operations,Executive,1/27/2024,1900720,45,19,1.48,5
1026,Vikram,Verma,HR,Data Analyst,1/25/2020,2290242,41,17,2.28,12
1027,Rajesh,Nair,Sales,Software Engineer,11/16/2016,2142995,22,0,4.47,6
1028,Kavya,Verma,HR,Data Analyst,10/8/2015,2493654,22,29,1.93,8
1029,Pooja,Nair,HR,Data Analyst,12/15/2021,2269412,38,29,3.43,13
1030,Ananya,Desai,Sales,Senior Manager,10/29/2018,890611,22,0,2.61,1
1031,Kavya,Singh,Marketing,Executive,3/19/2023,732206,51,23,1.83,5
1032,Nikhil,Nair,Engineering,Senior Manager,8/4/2021,1037902,24,13,4.25,3
1033,Rajesh,Verma,Finance,Data Analyst,12/16/2022,1827553,32,3,3.97,2
1034,Rohan,Desai,HR,Data Analyst,9/19/2017,728556,45,4,3.65,11
1035,Rohan,Nair,Finance,Data Analyst,12/2/2021,1978083,43,10,1.95,8
1036,Pooja,Kumar,Operations,Associate,8/21/2017,2150697,47,23,1.39,7
1037,Kavya,Singh,Sales,Senior Manager,5/20/2024,1982620,34,27,3.3,10
1038,Kavya,Nair,Finance,Data Analyst,5/11/2021,780350,22,22,3.21,7
1039,Amit,Desai,Sales,Manager,3/30/2018,796232,45,12,1.75,5
1040,Kavya,Gupta,Finance,Executive,9/10/2017,1987023,31,15,1.22,12
1041,Arjun,Patel,Engineering,Executive,11/27/2016,2049182,56,23,1.32,13
1042,Sneha,Rao,Engineering,Manager,12/10/2021,2346719,45,12,4.97,9
1043,Nikhil,Patel,Engineering,Executive,3/9/2017,1726548,49,23,4.13,5
1044,Amit,Patel,Engineering,Associate,12/12/2020,2146780,57,21,4.69,2
1045,Vikram,Sharma,Engineering,Associate,8/23/2017,1175817,37,25,1.78,3
1046,Amit,Kumar,Engineering,Software Engineer,8/13/2021,2324611,37,1,4.84,4
1047,Arjun,Gupta,Sales,Software Engineer,2/22/2023,550231,38,15,1.57,5
1048,Vikram,Reddy,HR,Software Engineer,10/10/2022,1361516,36,5,3.04,13
1049,Nikhil,Nair,Finance,Executive,8/9/2022,680171,37,13,4.32,3
1050,Arjun,Rao,Engineering,Associate,11/16/2016,841220,36,0,2.4,12
1051,Priya,Singh,Sales,Associate,11/19/2015,1278935,55,16,2.7,14
1052,Sneha,Gupta,Sales,Associate,12/26/2021,1373224,32,10,1.51,7
1053,Nikhil,Verma,Sales,Manager,9/6/2018,1330451,22,18,1.49,5
1054,Kavya,Reddy,HR,Associate,4/28/2019,2430118,36,2,3.48,5
1055,Priya,Sharma,Finance,Manager,4/24/2015,720993,47,10,3.7,6
1056,Pooja,Sharma,HR,Software Engineer,8/5/2017,546331,25,28,4.11,7
1057,Nikhil,Gupta,Marketing,Software Engineer,5/3/2015,1391174,26,4,3.23,10
1058,Pooja,Desai,Sales,Executive,10/15/2023,490271,56,16,3.58,10
1059,Vikram,Patel,Marketing,Software Engineer,6/7/2017,707014,34,25,1.05,8
1060,Priya,Verma,Operations,Executive,7/27/2020,1147516,31,21,1.65,9
1061,Sneha,Sharma,Engineering,Data Analyst,5/23/2015,1303510,32,6,4.94,11
1062,Kavya,Rao,Engineering,Data Analyst,8/30/2021,317118,39,9,1.3,4
1063,Kavya,Sharma,HR,Senior Manager,3/25/2018,1371192,55,27,3.72,5
1064,Arjun,Singh,Finance,Executive,12/22/2023,2160371,44,28,1.7,5
1065,Kavya,Nair,Marketing,Senior Manager,11/16/2023,302795,28,10,3.87,8
1066,Divya,Sharma,Finance,Senior Manager,4/2/2018,1871480,24,2,3.82,9
1067,Amit,Singh,HR,Data Analyst,1/2/2024,2230873,33,19,1.94,7
1068,Rajesh,Gupta,Engineering,Executive,12/14/2024,1087163,28,9,2.08,5
1069,Sneha,Gupta,Finance,Data Analyst,4/1/2023,719007,47,26,3.62,3
1070,Priya,Reddy,Finance,Senior Manager,6/11/2023,1701156,54,9,2.56,1
1071,Divya,Sharma,Engineering,Executive,6/27/2017,523034,58,13,1.78,11
1072,Sneha,Rao,Marketing,Senior Manager,10/5/2020,1972558,36,11,3.93,9
1073,Priya,Sharma,Engineering,Associate,9/3/2015,1090671,23,14,1.62,5
1074,Ananya,Rao,Finance,Executive,12/13/2015,613559,28,9,4.42,9
1075,Ananya,Kumar,Marketing,Executive,12/24/2024,368968,53,29,3.06,10
1076,Pooja,Reddy,Marketing,Senior Manager,4/7/2018,793891,25,9,1.42,12
1077,Sneha,Kumar,Engineering,Associate,6/23/2022,884718,41,25,3.78,13
1078,Ananya,Sharma,Finance,Manager,1/23/2023,1598648,57,18,3.08,14
1079,Priya,Reddy,HR,Data Analyst,7/29/2023,2398667,53,0,2.19,4
1080,Pooja,Kumar,Finance,Senior Manager,12/20/2024,2494358,49,23,2.69,5
1081,Kavya,Patel,Sales,Executive,5/31/2017,2108566,34,28,2.19,4
1082,Priya,Sharma,Operations,Data Analyst,5/28/2015,1142672,22,25,2.05,2
1083,Pooja,Kumar,HR,Data Analyst,2/9/2019,2402738,56,9,1.65,12
1084,Sneha,Patel,Marketing,Data Analyst,4/19/2016,1318725,51,1,2.45,1
